season,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2020,Brian Flores,MIA,16,10,6,0,404,338,66,25.25,21.12,4.12,0.625
2020,Bruce Arians,TB,20,15,5,0,615,433,182,30.75,21.65,9.1,0.75
2020,Dan Quinn,ATL,5,0,5,0,122,161,-39,24.4,32.2,-7.8,0.0
2020,Darrell Bevell,DET,5,1,4,0,125,191,-66,25.0,38.2,-13.2,0.2
2020,Doug Marrone,JAX,16,1,15,0,306,492,-186,19.12,30.75,-11.62,0.062
2020,Doug Pederson,PHI,16,4,11,1,334,418,-84,20.88,26.12,-5.25,0.281
2020,Frank Reich,IND,17,11,6,0,475,389,86,27.94,22.88,5.06,0.647
2020,Joe Judge,NYG,16,6,10,0,280,357,-77,17.5,22.31,-4.81,0.375
2020,John Harbaugh,BAL,18,12,6,0,491,333,158,27.28,18.5,8.78,0.667
2020,Jon Gruden,LV,16,8,8,0,434,478,-44,27.12,29.88,-2.75,0.5
2020,Kevin Stefanski,CLE,18,12,6,0,473,478,-5,26.28,26.56,-0.28,0.667
2020,Kliff Kingsbury,ARI,16,8,8,0,410,367,43,25.62,22.94,2.69,0.5
2020,Kyle Shanahan,SF,16,6,10,0,376,390,-14,23.5,24.38,-0.88,0.375
2020,Matt LaFleur,GB,18,14,4,0,567,418,149,31.5,23.22,8.28,0.778
2020,Matt Nagy,CHI,17,8,9,0,381,391,-10,22.41,23.0,-0.59,0.471
2020,Matt Patricia,DET,11,4,7,0,252,328,-76,22.91,29.82,-6.91,0.364
2020,Matt Rhule,CAR,16,5,11,0,350,402,-52,21.88,25.12,-3.25,0.312
2020,Mike McCarthy,DAL,16,6,10,0,395,473,-78,24.69,29.56,-4.88,0.375
2020,Mike Tomlin,PIT,17,12,5,0,453,360,93,26.65,21.18,5.47,0.706
2020,Mike Vrabel,TEN,17,11,6,0,504,459,45,29.65,27.0,2.65,0.647
2020,Mike Zimmer,MIN,16,7,9,0,430,475,-45,26.88,29.69,-2.81,0.438
2020,Pete Carroll,SEA,17,12,5,0,479,401,78,28.18,23.59,4.59,0.706
2020,Raheem Morris,ATL,11,4,7,0,274,253,21,24.91,23.0,1.91,0.364
2020,Romeo Crennel,HOU,12,4,8,0,304,338,-34,25.33,28.17,-2.83,0.333
2020,Ron Rivera,WAS,17,7,10,0,358,360,-2,21.06,21.18,-0.12,0.412
2020,Sean McDermott,BUF,19,15,4,0,569,440,129,29.95,23.16,6.79,0.789
2020,Sean McVay,LA,18,11,7,0,420,348,72,23.33,19.33,4.0,0.611
2020,Sean Payton,NO,18,13,5,0,523,376,147,29.06,20.89,8.17,0.722
2020,Vic Fangio,DEN,16,5,11,0,323,446,-123,20.19,27.88,-7.69,0.312
2020,Zac Taylor,CIN,16,4,11,1,311,424,-113,19.44,26.5,-7.06,0.281
2021,Andy Reid,KC,20,14,6,0,588,448,140,29.4,22.4,7.0,0.7
2021,Arthur Smith,ATL,17,7,10,0,313,459,-146,18.41,27.0,-8.59,0.412
2021,Bill Belichick,NE,18,10,8,0,479,350,129,26.61,19.44,7.17,0.556
2021,Brandon Staley,LAC,17,9,8,0,474,459,15,27.88,27.0,0.88,0.529
2021,Brian Flores,MIA,17,9,8,0,341,373,-32,20.06,21.94,-1.88,0.529
2021,Bruce Arians,TB,19,14,5,0,569,398,171,29.95,20.95,9.0,0.737
2021,Dan Campbell,DET,17,3,13,1,325,467,-142,19.12,27.47,-8.35,0.206
2021,Darrell Bevell,JAX,4,1,3,0,73,117,-44,18.25,29.25,-11.0,0.25
2021,David Culley,HOU,17,4,13,0,280,452,-172,16.47,26.59,-10.12,0.235
2021,Frank Reich,IND,17,9,8,0,451,365,86,26.53,21.47,5.06,0.529
2021,Joe Judge,NYG,17,4,13,0,258,416,-158,15.18,24.47,-9.29,0.235
2021,John Harbaugh,BAL,17,8,9,0,387,392,-5,22.76,23.06,-0.29,0.471
2021,Jon Gruden,LV,5,3,2,0,113,120,-7,22.6,24.0,-1.4,0.6
2021,Kevin Stefanski,CLE,17,8,9,0,349,371,-22,20.53,21.82,-1.29,0.471
2021,Kliff Kingsbury,ARI,18,11,7,0,460,400,60,25.56,22.22,3.33,0.611
2021,Kyle Shanahan,SF,20,12,8,0,480,412,68,24.0,20.6,3.4,0.6
2021,Matt LaFleur,GB,18,13,5,0,460,384,76,25.56,21.33,4.22,0.722
2021,Matt Nagy,CHI,17,6,11,0,311,407,-96,18.29,23.94,-5.65,0.353
2021,Matt Rhule,CAR,17,5,12,0,304,404,-100,17.88,23.76,-5.88,0.294
2021,Mike McCarthy,DAL,18,12,6,0,547,381,166,30.39,21.17,9.22,0.667
2021,Mike Tomlin,PIT,18,9,8,1,364,440,-76,20.22,24.44,-4.22,0.528
2021,Mike Vrabel,TEN,18,12,6,0,435,373,62,24.17,20.72,3.44,0.667
2021,Mike Zimmer,MIN,17,8,9,0,425,426,-1,25.0,25.06,-0.06,0.471
2021,Nick Sirianni,PHI,18,9,9,0,459,416,43,25.5,23.11,2.39,0.5
2021,Pete Carroll,SEA,17,7,10,0,395,366,29,23.24,21.53,1.71,0.412
2021,Rich Bisaccia,LV,13,7,6,0,280,345,-65,21.54,26.54,-5.0,0.538
2021,Robert Saleh,NYJ,17,4,13,0,310,504,-194,18.24,29.65,-11.41,0.235
2021,Ron Rivera,WAS,17,7,10,0,335,434,-99,19.71,25.53,-5.82,0.412
2021,Sean McDermott,BUF,19,12,7,0,566,348,218,29.79,18.32,11.47,0.632
2021,Sean McVay,LA,21,16,5,0,567,447,120,27.0,21.29,5.71,0.762
2021,Sean Payton,NO,17,9,8,0,364,335,29,21.41,19.71,1.71,0.529
2021,Urban Meyer,JAX,13,2,11,0,180,340,-160,13.85,26.15,-12.31,0.154
2021,Vic Fangio,DEN,17,7,10,0,335,322,13,19.71,18.94,0.76,0.412
2021,Zac Taylor,CIN,21,13,8,0,552,458,94,26.29,21.81,4.48,0.619
2022,Andy Reid,KC,20,17,3,0,584,444,140,29.2,22.2,7.0,0.85
2022,Arthur Smith,ATL,17,7,10,0,365,386,-21,21.47,22.71,-1.24,0.412
2022,Bill Belichick,NE,17,8,9,0,364,347,17,21.41,20.41,1.0,0.471
2022,Brandon Staley,LAC,18,10,8,0,421,415,6,23.39,23.06,0.33,0.556
2022,Brian Daboll,NYG,19,10,8,1,403,433,-30,21.21,22.79,-1.58,0.553
2022,Dan Campbell,DET,17,9,8,0,453,427,26,26.65,25.12,1.53,0.529
2022,Dennis Allen,NO,17,7,10,0,330,345,-15,19.41,20.29,-0.88,0.412
2022,Doug Pederson,JAX,19,10,9,0,455,407,48,23.95,21.42,2.53,0.526
2022,Frank Reich,IND,9,3,5,1,132,183,-51,14.67,20.33,-5.67,0.389
2022,Jay Rosburg,DEN,2,1,1,0,55,55,0,27.5,27.5,0.0,0.5
2022,Jeff Saturday,IND,8,1,7,0,157,244,-87,19.62,30.5,-10.88,0.125
2022,John Harbaugh,BAL,18,10,8,0,367,339,28,20.39,18.83,1.56,0.556
2022,Josh McDaniels,LV,17,6,11,0,395,418,-23,23.24,24.59,-1.35,0.353
2022,Kevin O'Connell,MIN,18,13,5,0,448,458,-10,24.89,25.44,-0.56,0.722
2022,Kevin Stefanski,CLE,17,7,10,0,361,381,-20,21.24,22.41,-1.18,0.412
2022,Kliff Kingsbury,ARI,17,4,13,0,340,449,-109,20.0,26.41,-6.41,0.235
2022,Kyle Shanahan,SF,20,15,5,0,517,343,174,25.85,17.15,8.7,0.75
2022,Lovie Smith,HOU,17,3,13,1,289,420,-131,17.0,24.71,-7.71,0.206
2022,Matt Eberflus,CHI,17,3,14,0,326,463,-137,19.18,27.24,-8.06,0.176
2022,Matt LaFleur,GB,17,8,9,0,370,371,-1,21.76,21.82,-0.06,0.471
2022,Matt Rhule,CAR,5,1,4,0,93,122,-29,18.6,24.4,-5.8,0.2
2022,Mike McCarthy,DAL,19,13,6,0,510,375,135,26.84,19.74,7.11,0.684
2022,Mike McDaniel,MIA,18,9,9,0,428,433,-5,23.78,24.06,-0.28,0.5
2022,Mike Tomlin,PIT,17,9,8,0,308,346,-38,18.12,20.35,-2.24,0.529
2022,Mike Vrabel,TEN,17,7,10,0,298,359,-61,17.53,21.12,-3.59,0.412
2022,Nathaniel Hackett,DEN,15,4,11,0,232,304,-72,15.47,20.27,-4.8,0.267
2022,Nick Sirianni,PHI,20,16,4,0,581,396,185,29.05,19.8,9.25,0.8
2022,Pete Carroll,SEA,18,9,9,0,430,442,-12,23.89,24.56,-0.67,0.5
2022,Robert Saleh,NYJ,17,7,10,0,296,316,-20,17.41,18.59,-1.18,0.412
2022,Ron Rivera,WAS,17,8,8,1,321,343,-22,18.88,20.18,-1.29,0.5
2022,Sean McDermott,BUF,18,14,4,0,499,344,155,27.72,19.11,8.61,0.778
2022,Sean McVay,LA,17,5,12,0,307,384,-77,18.06,22.59,-4.53,0.294
2022,Steve Wilks,CAR,12,6,6,0,254,252,2,21.17,21.0,0.17,0.5
2022,Todd Bowles,TB,18,8,10,0,327,389,-62,18.17,21.61,-3.44,0.444
2022,Zac Taylor,CIN,19,14,5,0,489,372,117,25.74,19.58,6.16,0.737
2023,Andy Reid,KC,21,15,6,0,466,357,109,22.19,17.0,5.19,0.714
2023,Antonio Pierce,LV,9,5,4,0,206,144,62,22.89,16.0,6.89,0.556
2023,Arthur Smith,ATL,17,7,10,0,321,373,-52,18.88,21.94,-3.06,0.412
2023,Bill Belichick,NE,17,4,13,0,236,366,-130,13.88,21.53,-7.65,0.235
2023,Brandon Staley,LAC,14,5,9,0,303,345,-42,21.64,24.64,-3.0,0.357
2023,Brian Daboll,NYG,17,6,11,0,266,407,-141,15.65,23.94,-8.29,0.353
2023,Chris Tabor,CAR,6,1,5,0,63,124,-61,10.5,20.67,-10.17,0.167
2023,Dan Campbell,DET,20,14,6,0,547,475,72,27.35,23.75,3.6,0.7
2023,DeMeco Ryans,HOU,19,11,8,0,432,401,31,22.74,21.11,1.63,0.579
2023,Dennis Allen,NO,17,9,8,0,402,327,75,23.65,19.24,4.41,0.529
2023,Doug Pederson,JAX,17,9,8,0,377,371,6,22.18,21.82,0.35,0.529
2023,Frank Reich,CAR,11,1,10,0,173,292,-119,15.73,26.55,-10.82,0.091
2023,Giff Smith,LAC,3,0,3,0,43,53,-10,14.33,17.67,-3.33,0.0
2023,John Harbaugh,BAL,19,14,5,0,527,307,220,27.74,16.16,11.58,0.737
2023,Jonathan Gannon,ARI,17,4,13,0,330,455,-125,19.41,26.76,-7.35,0.235
2023,Josh McDaniels,LV,8,3,5,0,126,187,-61,15.75,23.38,-7.62,0.375
2023,Kevin O'Connell,MIN,17,7,10,0,344,362,-18,20.24,21.29,-1.06,0.412
2023,Kevin Stefanski,CLE,18,11,7,0,410,407,3,22.78,22.61,0.17,0.611
2023,Kyle Shanahan,SF,20,14,6,0,571,375,196,28.55,18.75,9.8,0.7
2023,Matt Eberflus,CHI,17,7,10,0,360,379,-19,21.18,22.29,-1.12,0.412
2023,Matt LaFleur,GB,19,10,9,0,452,406,46,23.79,21.37,2.42,0.526
2023,Mike McCarthy,DAL,18,12,6,0,541,363,178,30.06,20.17,9.89,0.667
2023,Mike McDaniel,MIA,18,11,7,0,503,417,86,27.94,23.17,4.78,0.611
2023,Mike Tomlin,PIT,18,10,8,0,321,355,-34,17.83,19.72,-1.89,0.556
2023,Mike Vrabel,TEN,17,6,11,0,305,367,-62,17.94,21.59,-3.65,0.353
2023,Nick Sirianni,PHI,18,11,7,0,442,460,-18,24.56,25.56,-1.0,0.611
2023,Pete Carroll,SEA,17,9,8,0,364,402,-38,21.41,23.65,-2.24,0.529
2023,Robert Saleh,NYJ,17,7,10,0,268,355,-87,15.76,20.88,-5.12,0.412
2023,Ron Rivera,WAS,17,4,13,0,329,518,-189,19.35,30.47,-11.12,0.235
2023,Sean McDermott,BUF,19,12,7,0,506,355,151,26.63,18.68,7.95,0.632
2023,Sean McVay,LA,18,10,8,0,427,401,26,23.72,22.28,1.44,0.556
2023,Sean Payton,DEN,17,8,9,0,357,413,-56,21.0,24.29,-3.29,0.471
2023,Shane Steichen,IND,17,9,8,0,396,415,-19,23.29,24.41,-1.12,0.529
2023,Todd Bowles,TB,19,10,9,0,403,365,38,21.21,19.21,2.0,0.526
2023,Zac Taylor,CIN,17,9,8,0,366,384,-18,21.53,22.59,-1.06,0.529
2024,Andy Reid,KC,20,17,3,0,462,409,53,23.1,20.45,2.65,0.85
2024,Antonio Pierce,LV,17,4,13,0,309,434,-125,18.18,25.53,-7.35,0.235
2024,Brian Callahan,TEN,17,3,14,0,311,460,-149,18.29,27.06,-8.76,0.176
2024,Brian Daboll,NYG,17,3,14,0,273,415,-142,16.06,24.41,-8.35,0.176
2024,Dan Campbell,DET,18,15,3,0,595,387,208,33.06,21.5,11.56,0.833
2024,Dan Quinn,WAS,20,14,6,0,576,497,79,28.8,24.85,3.95,0.7
2024,Darren Rizzi,NO,8,3,5,0,131,169,-38,16.38,21.12,-4.75,0.375
2024,Dave Canales,CAR,17,5,12,0,341,534,-193,20.06,31.41,-11.35,0.294
2024,DeMeco Ryans,HOU,19,11,8,0,418,407,11,22.0,21.42,0.58,0.579
2024,Dennis Allen,NO,9,2,7,0,207,229,-22,23.0,25.44,-2.44,0.222
2024,Doug Pederson,JAX,17,4,13,0,320,435,-115,18.82,25.59,-6.76,0.235
2024,Jeff Ulbrich,NYJ,12,3,9,0,245,319,-74,20.42,26.58,-6.17,0.25
2024,Jerod Mayo,NE,17,4,13,0,289,417,-128,17.0,24.53,-7.53,0.235
2024,Jim Harbaugh,LAC,18,11,7,0,414,333,81,23.0,18.5,4.5,0.611
2024,John Harbaugh,BAL,19,13,6,0,571,402,169,30.05,21.16,8.89,0.684
2024,Jonathan Gannon,ARI,17,8,9,0,400,379,21,23.53,22.29,1.24,0.471
2024,Kevin O'Connell,MIN,18,14,4,0,441,359,82,24.5,19.94,4.56,0.778
2024,Kevin Stefanski,CLE,17,3,14,0,258,435,-177,15.18,25.59,-10.41,0.176
2024,Kyle Shanahan,SF,17,6,11,0,389,436,-47,22.88,25.65,-2.76,0.353
2024,Matt Eberflus,CHI,12,4,8,0,241,240,1,20.08,20.0,0.08,0.333
2024,Matt LaFleur,GB,18,11,7,0,470,360,110,26.11,20.0,6.11,0.611
2024,Mike Macdonald,SEA,17,10,7,0,375,368,7,22.06,21.65,0.41,0.588
2024,Mike McCarthy,DAL,17,7,10,0,350,468,-118,20.59,27.53,-6.94,0.412
2024,Mike McDaniel,MIA,17,8,9,0,345,364,-19,20.29,21.41,-1.12,0.471
2024,Mike Tomlin,PIT,18,10,8,0,394,375,19,21.89,20.83,1.06,0.556
2024,Nick Sirianni,PHI,21,18,3,0,608,380,228,28.95,18.1,10.86,0.857
2024,Raheem Morris,ATL,17,8,9,0,389,423,-34,22.88,24.88,-2.0,0.471
2024,Robert Saleh,NYJ,5,2,3,0,93,85,8,18.6,17.0,1.6,0.4
2024,Sean McDermott,BUF,20,15,5,0,612,432,180,30.6,21.6,9.0,0.75
2024,Sean McVay,LA,19,11,8,0,416,423,-7,21.89,22.26,-0.37,0.579
2024,Sean Payton,DEN,18,10,8,0,432,342,90,24.0,19.0,5.0,0.556
2024,Shane Steichen,IND,17,8,9,0,377,427,-50,22.18,25.12,-2.94,0.471
2024,Thomas Brown,CHI,5,1,4,0,69,130,-61,13.8,26.0,-12.2,0.2
2024,Todd Bowles,TB,18,10,8,0,522,408,114,29.0,22.67,6.33,0.556
2024,Zac Taylor,CIN,17,9,8,0,472,434,38,27.76,25.53,2.24,0.529
2025,Aaron Glenn,NYJ,17,3,14,0,300,503,-203,17.65,29.59,-11.94,0.176
2025,Andy Reid,KC,17,6,11,0,362,328,34,21.29,19.29,2.0,0.353
2025,Ben Johnson,CHI,19,12,7,0,489,462,27,25.74,24.32,1.42,0.632
2025,Brian Callahan,TEN,6,1,5,0,83,161,-78,13.83,26.83,-13.0,0.167
2025,Brian Daboll,NYG,10,2,8,0,217,273,-56,21.7,27.3,-5.6,0.2
2025,Brian Schottenheimer,DAL,17,7,9,1,471,511,-40,27.71,30.06,-2.35,0.441
2025,Dan Campbell,DET,17,9,8,0,481,413,68,28.29,24.29,4.0,0.529
2025,Dan Quinn,WAS,17,5,12,0,356,451,-95,20.94,26.53,-5.59,0.294
2025,Dave Canales,CAR,18,8,10,0,342,414,-72,19.0,23.0,-4.0,0.444
2025,DeMeco Ryans,HOU,19,13,6,0,450,329,121,23.68,17.32,6.37,0.684
2025,Jim Harbaugh,LAC,18,11,7,0,371,356,15,20.61,19.78,0.83,0.611
2025,John Harbaugh,BAL,17,8,9,0,424,398,26,24.94,23.41,1.53,0.471
2025,Jonathan Gannon,ARI,17,3,14,0,355,488,-133,20.88,28.71,-7.82,0.176
2025,Kellen Moore,NO,17,6,11,0,306,383,-77,18.0,22.53,-4.53,0.353
2025,Kevin O'Connell,MIN,17,9,8,0,344,333,11,20.24,19.59,0.65,0.529
2025,Kevin Stefanski,CLE,17,5,12,0,279,379,-100,16.41,22.29,-5.88,0.294
2025,Kyle Shanahan,SF,19,13,6,0,466,431,35,24.53,22.68,1.84,0.684
2025,Liam Coen,JAX,18,13,5,0,498,363,135,27.67,20.17,7.5,0.722
2025,Matt LaFleur,GB,18,9,8,1,418,391,27,23.22,21.72,1.5,0.528
2025,Mike Kafka,NYG,7,2,5,0,164,166,-2,23.43,23.71,-0.29,0.286
2025,Mike Macdonald,SEA,20,17,3,0,584,338,246,29.2,16.9,12.3,0.85
2025,Mike McCoy,TEN,11,2,9,0,201,317,-116,18.27,28.82,-10.55,0.182
2025,Mike McDaniel,MIA,17,7,10,0,347,424,-77,20.41,24.94,-4.53,0.412
2025,Mike Tomlin,PIT,18,10,8,0,403,417,-14,22.39,23.17,-0.78,0.556
2025,Mike Vrabel,NE,21,17,4,0,557,375,182,26.52,17.86,8.67,0.81
2025,Nick Sirianni,PHI,18,11,7,0,398,348,50,22.11,19.33,2.78,0.611
2025,Pete Carroll,LV,17,3,14,0,241,432,-191,14.18,25.41,-11.24,0.176
2025,Raheem Morris,ATL,17,8,9,0,353,401,-48,20.76,23.59,-2.82,0.471
2025,Sean McDermott,BUF,19,13,6,0,538,422,116,28.32,22.21,6.11,0.684
2025,Sean McVay,LA,20,14,6,0,599,425,174,29.95,21.25,8.7,0.7
2025,Sean Payton,DEN,19,15,4,0,441,351,90,23.21,18.47,4.74,0.789
2025,Shane Steichen,IND,17,8,9,0,466,412,54,27.41,24.24,3.18,0.471
2025,Todd Bowles,TB,17,8,9,0,380,411,-31,22.35,24.18,-1.82,0.471
2025,Zac Taylor,CIN,17,6,11,0,414,492,-78,24.35,28.94,-4.59,0.353
