season,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2023,CLE,18,11,7,0,410,407,3,22.78,22.61,0.17,0.611
2023,DAL,18,12,6,0,541,363,178,30.06,20.17,9.89,0.667
2023,DEN,17,8,9,0,357,413,-56,21.0,24.29,-3.29,0.471
2023,DET,20,14,6,0,547,475,72,27.35,23.75,3.6,0.7
2023,GB,19,10,9,0,452,406,46,23.79,21.37,2.42,0.526
2023,HOU,19,11,8,0,432,401,31,22.74,21.11,1.63,0.579
2023,IND,17,9,8,0,396,415,-19,23.29,24.41,-1.12,0.529
2023,JAX,17,9,8,0,377,371,6,22.18,21.82,0.35,0.529
2023,KC,21,15,6,0,466,357,109,22.19,17.0,5.19,0.714
2023,LA,18,10,8,0,427,401,26,23.72,22.28,1.44,0.556
2023,LAC,17,5,12,0,346,398,-52,20.35,23.41,-3.06,0.294
2023,LV,17,8,9,0,332,331,1,19.53,19.47,0.06,0.471
2023,MIA,18,11,7,0,503,417,86,27.94,23.17,4.78,0.611
2023,MIN,17,7,10,0,344,362,-18,20.24,21.29,-1.06,0.412
2023,NE,17,4,13,0,236,366,-130,13.88,21.53,-7.65,0.235
2023,NO,17,9,8,0,402,327,75,23.65,19.24,4.41,0.529
2023,NYG,17,6,11,0,266,407,-141,15.65,23.94,-8.29,0.353
2023,NYJ,17,7,10,0,268,355,-87,15.76,20.88,-5.12,0.412
2023,PHI,18,11,7,0,442,460,-18,24.56,25.56,-1.0,0.611
2023,PIT,18,10,8,0,321,355,-34,17.83,19.72,-1.89,0.556
2023,SEA,17,9,8,0,364,402,-38,21.41,23.65,-2.24,0.529
2023,SF,20,14,6,0,571,375,196,28.55,18.75,9.8,0.7
2023,TB,19,10,9,0,403,365,38,21.21,19.21,2.0,0.526
2023,TEN,17,6,11,0,305,367,-62,17.94,21.59,-3.65,0.353
2023,WAS,17,4,13,0,329,518,-189,19.35,30.47,-11.12,0.235
2024,ARI,17,8,9,0,400,379,21,23.53,22.29,1.24,0.471
2024,ATL,17,8,9,0,389,423,-34,22.88,24.88,-2.0,0.471
2024,BAL,19,13,6,0,571,402,169,30.05,21.16,8.89,0.684
2024,BUF,20,15,5,0,612,432,180,30.6,21.6,9.0,0.75
2024,CAR,17,5,12,0,341,534,-193,20.06,31.41,-11.35,0.294
2024,CHI,17,5,12,0,310,370,-60,18.24,21.76,-3.53,0.294
2024,CIN,17,9,8,0,472,434,38,27.76,25.53,2.24,0.529
2024,CLE,17,3,14,0,258,435,-177,15.18,25.59,-10.41,0.176
2024,DAL,17,7,10,0,350,468,-118,20.59,27.53,-6.94,0.412
2024,DEN,18,10,8,0,432,342,90,24.0,19.0,5.0,0.556
2024,DET,18,15,3,0,595,387,208,33.06,21.5,11.56,0.833
2024,GB,18,11,7,0,470,360,110,26.11,20.0,6.11,0.611
2024,HOU,19,11,8,0,418,407,11,22.0,21.42,0.58,0.579
2024,IND,17,8,9,0,377,427,-50,22.18,25.12,-2.94,0.471
2024,JAX,17,4,13,0,320,435,-115,18.82,25.59,-6.76,0.235
2024,KC,20,17,3,0,462,409,53,23.1,20.45,2.65,0.85
2024,LA,19,11,8,0,416,423,-7,21.89,22.26,-0.37,0.579
2024,LAC,18,11,7,0,414,333,81,23.0,18.5,4.5,0.611
2024,LV,17,4,13,0,309,434,-125,18.18,25.53,-7.35,0.235
2024,MIA,17,8,9,0,345,364,-19,20.29,21.41,-1.12,0.471
2024,MIN,18,14,4,0,441,359,82,24.5,19.94,4.56,0.778
2024,NE,17,4,13,0,289,417,-128,17.0,24.53,-7.53,0.235
2024,NO,17,5,12,0,338,398,-60,19.88,23.41,-3.53,0.294
2024,NYG,17,3,14,0,273,415,-142,16.06,24.41,-8.35,0.176
2024,NYJ,17,5,12,0,338,404,-66,19.88,23.76,-3.88,0.294
2024,PHI,21,18,3,0,608,380,228,28.95,18.1,10.86,0.857
2024,PIT,18,10,8,0,394,375,19,21.89,20.83,1.06,0.556
2024,SEA,17,10,7,0,375,368,7,22.06,21.65,0.41,0.588
2024,SF,17,6,11,0,389,436,-47,22.88,25.65,-2.76,0.353
2024,TB,18,10,8,0,522,408,114,29.0,22.67,6.33,0.556
2024,TEN,17,3,14,0,311,460,-149,18.29,27.06,-8.76,0.176
2024,WAS,20,14,6,0,576,497,79,28.8,24.85,3.95,0.7
2025,ARI,17,3,14,0,355,488,-133,20.88,28.71,-7.82,0.176
2025,ATL,17,8,9,0,353,401,-48,20.76,23.59,-2.82,0.471
2025,BAL,17,8,9,0,424,398,26,24.94,23.41,1.53,0.471
2025,BUF,19,13,6,0,538,422,116,28.32,22.21,6.11,0.684
2025,CAR,18,8,10,0,342,414,-72,19.0,23.0,-4.0,0.444
2025,CHI,19,12,7,0,489,462,27,25.74,24.32,1.42,0.632
2025,CIN,17,6,11,0,414,492,-78,24.35,28.94,-4.59,0.353
2025,CLE,17,5,12,0,279,379,-100,16.41,22.29,-5.88,0.294
2025,DAL,17,7,9,1,471,511,-40,27.71,30.06,-2.35,0.441
2025,DEN,19,15,4,0,441,351,90,23.21,18.47,4.74,0.789
2025,DET,17,9,8,0,481,413,68,28.29,24.29,4.0,0.529
2025,GB,18,9,8,1,418,391,27,23.22,21.72,1.5,0.528
2025,HOU,19,13,6,0,450,329,121,23.68,17.32,6.37,0.684
2025,IND,17,8,9,0,466,412,54,27.41,24.24,3.18,0.471
2025,JAX,18,13,5,0,498,363,135,27.67,20.17,7.5,0.722
2025,KC,17,6,11,0,362,328,34,21.29,19.29,2.0,0.353
2025,LA,20,14,6,0,599,425,174,29.95,21.25,8.7,0.7
2025,LAC,18,11,7,0,371,356,15,20.61,19.78,0.83,0.611
2025,LV,17,3,14,0,241,432,-191,14.18,25.41,-11.24,0.176
