season,season_type,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2021,POST,Andy Reid,KC,3,2,1,0,108,84,24,36.0,28.0,8.0,0.667
2021,POST,Bill Belichick,NE,1,0,1,0,17,47,-30,17.0,47.0,-30.0,0.0
2021,POST,Bruce Arians,TB,2,1,1,0,58,45,13,29.0,22.5,6.5,0.5
2021,POST,Kliff Kingsbury,ARI,1,0,1,0,11,34,-23,11.0,34.0,-23.0,0.0
2021,POST,Kyle Shanahan,SF,3,2,1,0,53,47,6,17.67,15.67,2.0,0.667
2021,POST,Matt LaFleur,GB,1,0,1,0,10,13,-3,10.0,13.0,-3.0,0.0
2021,POST,Mike McCarthy,DAL,1,0,1,0,17,23,-6,17.0,23.0,-6.0,0.0
2021,POST,Mike Tomlin,PIT,1,0,1,0,21,42,-21,21.0,42.0,-21.0,0.0
2021,POST,Mike Vrabel,TEN,1,0,1,0,16,19,-3,16.0,19.0,-3.0,0.0
2021,POST,Nick Sirianni,PHI,1,0,1,0,15,31,-16,15.0,31.0,-16.0,0.0
2021,POST,Rich Bisaccia,LV,1,0,1,0,19,26,-7,19.0,26.0,-7.0,0.0
2021,POST,Sean McDermott,BUF,2,1,1,0,83,59,24,41.5,29.5,12.0,0.5
2021,POST,Sean McVay,LA,4,4,0,0,107,75,32,26.75,18.75,8.0,1.0
2021,POST,Zac Taylor,CIN,4,3,1,0,92,82,10,23.0,20.5,2.5,0.75
2021,REG,Andy Reid,KC,17,12,5,0,480,364,116,28.24,21.41,6.82,0.706
2021,REG,Arthur Smith,ATL,17,7,10,0,313,459,-146,18.41,27.0,-8.59,0.412
2021,REG,Bill Belichick,NE,17,10,7,0,462,303,159,27.18,17.82,9.35,0.588
2021,REG,Brandon Staley,LAC,17,9,8,0,474,459,15,27.88,27.0,0.88,0.529
2021,REG,Brian Flores,MIA,17,9,8,0,341,373,-32,20.06,21.94,-1.88,0.529
2021,REG,Bruce Arians,TB,17,13,4,0,511,353,158,30.06,20.76,9.29,0.765
2021,REG,Dan Campbell,DET,17,3,13,1,325,467,-142,19.12,27.47,-8.35,0.206
2021,REG,Darrell Bevell,JAX,4,1,3,0,73,117,-44,18.25,29.25,-11.0,0.25
2021,REG,David Culley,HOU,17,4,13,0,280,452,-172,16.47,26.59,-10.12,0.235
2021,REG,Frank Reich,IND,17,9,8,0,451,365,86,26.53,21.47,5.06,0.529
2021,REG,Joe Judge,NYG,17,4,13,0,258,416,-158,15.18,24.47,-9.29,0.235
2021,REG,John Harbaugh,BAL,17,8,9,0,387,392,-5,22.76,23.06,-0.29,0.471
2021,REG,Jon Gruden,LV,5,3,2,0,113,120,-7,22.6,24.0,-1.4,0.6
2021,REG,Kevin Stefanski,CLE,17,8,9,0,349,371,-22,20.53,21.82,-1.29,0.471
2021,REG,Kliff Kingsbury,ARI,17,11,6,0,449,366,83,26.41,21.53,4.88,0.647
2021,REG,Kyle Shanahan,SF,17,10,7,0,427,365,62,25.12,21.47,3.65,0.588
2021,REG,Matt LaFleur,GB,17,13,4,0,450,371,79,26.47,21.82,4.65,0.765
2021,REG,Matt Nagy,CHI,17,6,11,0,311,407,-96,18.29,23.94,-5.65,0.353
2021,REG,Matt Rhule,CAR,17,5,12,0,304,404,-100,17.88,23.76,-5.88,0.294
2021,REG,Mike McCarthy,DAL,17,12,5,0,530,358,172,31.18,21.06,10.12,0.706
2021,REG,Mike Tomlin,PIT,17,9,7,1,343,398,-55,20.18,23.41,-3.24,0.559
2021,REG,Mike Vrabel,TEN,17,12,5,0,419,354,65,24.65,20.82,3.82,0.706
2021,REG,Mike Zimmer,MIN,17,8,9,0,425,426,-1,25.0,25.06,-0.06,0.471
2021,REG,Nick Sirianni,PHI,17,9,8,0,444,385,59,26.12,22.65,3.47,0.529
2021,REG,Pete Carroll,SEA,17,7,10,0,395,366,29,23.24,21.53,1.71,0.412
2021,REG,Rich Bisaccia,LV,12,7,5,0,261,319,-58,21.75,26.58,-4.83,0.583
2021,REG,Robert Saleh,NYJ,17,4,13,0,310,504,-194,18.24,29.65,-11.41,0.235
2021,REG,Ron Rivera,WAS,17,7,10,0,335,434,-99,19.71,25.53,-5.82,0.412
2021,REG,Sean McDermott,BUF,17,11,6,0,483,289,194,28.41,17.0,11.41,0.647
2021,REG,Sean McVay,LA,17,12,5,0,460,372,88,27.06,21.88,5.18,0.706
2021,REG,Sean Payton,NO,17,9,8,0,364,335,29,21.41,19.71,1.71,0.529
2021,REG,Urban Meyer,JAX,13,2,11,0,180,340,-160,13.85,26.15,-12.31,0.154
2021,REG,Vic Fangio,DEN,17,7,10,0,335,322,13,19.71,18.94,0.76,0.412
2021,REG,Zac Taylor,CIN,17,10,7,0,460,376,84,27.06,22.12,4.94,0.588
2022,POST,Andy Reid,KC,3,3,0,0,88,75,13,29.33,25.0,4.33,1.0
2022,POST,Brandon Staley,LAC,1,0,1,0,30,31,-1,30.0,31.0,-1.0,0.0
2022,POST,Brian Daboll,NYG,2,1,1,0,38,62,-24,19.0,31.0,-12.0,0.5
2022,POST,Doug Pederson,JAX,2,1,1,0,51,57,-6,25.5,28.5,-3.0,0.5
2022,POST,John Harbaugh,BAL,1,0,1,0,17,24,-7,17.0,24.0,-7.0,0.0
