season,head_coach,posteam,plays,games,actual_pass_rate,expected_pass_rate,model_pass_oe,nflverse_expected_pass_rate,nflverse_pass_oe,mean_epa,success_rate,mean_yards_gained,meets_minimum_sample,actual_pass_rate_pct,expected_pass_rate_pct,model_pass_oe_pct,nflverse_pass_oe_pct,success_rate_pct
2025,Brian Schottenheimer,DAL,1097,17,0.6207839562443026,0.6262523477649358,-0.005468391520633138,0.6287256119689593,-0.7941655724656614,0.10294435444951117,0.4667274384685506,6.084776663628077,true,62.08,62.63,-0.55,-79.42,46.67
2025,Brian Callahan,TEN,348,6,0.6724137931034483,0.6845165344893711,-0.012102741385922882,0.7080882101737219,-3.5674417070273696,-0.22207530407879342,0.3764367816091954,4.028735632183908,false,67.24,68.45,-1.21,-356.74,37.64
2025,Nick Sirianni,PHI,1062,18,0.5743879472693032,0.5880995690969935,-0.013711621827690283,0.6043628849976621,-2.9974937728358864,0.025178673071539405,0.4322033898305085,5.289077212806026,true,57.44,58.81,-1.37,-299.75,43.22
2025,Todd Bowles,TB,1055,17,0.604739336492891,0.6233234467675791,-0.018584110274688075,0.6385017348832994,-3.3762398390408377,-0.0040853642355121265,0.4255924170616114,5.173459715639811,true,60.47,62.33,-1.86,-337.62,42.56
2025,Matt LaFleur,GB,1057,18,0.5676442762535477,0.5909494856824425,-0.023305209428894687,0.6016767433154605,-3.4032467061912777,0.13100891822233737,0.47587511825922424,5.763481551561021,true,56.76,59.09,-2.33,-340.32,47.59
2025,Dave Canales,CAR,1050,18,0.5961904761904762,0.6256129636811295,-0.0294224874906533,0.6470550726744391,-5.086459648396287,-0.025455222405664158,0.43333333333333335,5.123809523809523,true,59.62,62.56,-2.94,-508.65,43.33
2025,Sean McDermott,BUF,1190,19,0.5621848739495798,0.5919875782787358,-0.02980270432915593,0.590983095558501,-2.8798221608921257,0.1513141556213,0.4899159663865546,6.063025210084033,true,56.22,59.2,-2.98,-287.98,48.99
2025,Ben Johnson,CHI,1241,19,0.5946817082997583,0.6267489118168086,-0.0320672035170503,0.6325578034002151,-3.787609510045682,0.08462639779296266,0.45608380338436744,5.76228847703465,true,59.47,62.67,-3.21,-378.76,45.61
2025,Dan Quinn,WAS,969,17,0.5820433436532507,0.619894719727788,-0.037851376074537216,0.6232439466435904,-4.120060299033966,0.018658748243357854,0.4582043343653251,5.604747162022703,true,58.2,61.99,-3.79,-412.01,45.82
2025,Raheem Morris,ATL,1030,17,0.5660194174757281,0.604901978559446,-0.03888256108371784,0.6276064122348879,-6.158699475915976,-0.01703437924123948,0.43786407766990293,5.512621359223301,true,56.6,60.49,-3.89,-615.87,43.79
2025,Mike McDaniel,MIA,932,17,0.5686695278969958,0.610678181984176,-0.04200865408718031,0.6220165001820022,-5.3346972285006435,-0.007749519467737668,0.4227467811158798,5.490343347639485,true,56.87,61.07,-4.2,-533.47,42.27
